id	created_at	user	avatar	commits	title
1	2014-03-14T19:44:31Z	AdricEpic	https://avatars.githubusercontent.com/u/6932368?v=3	1	ACCEPTED: Fixed typo in README.md
2	2014-03-14T19:54:56Z	AdricEpic	https://avatars.githubusercontent.com/u/6932368?v=3	8	CLOSED: TEST - Reject this pull request!
3	2014-03-19T23:55:22Z	Kamayuq	https://avatars.githubusercontent.com/u/7002622?v=3	1	ACCEPTED: Fixing System.IO.IOException: Sharing violation on OSX on an exFAT Drive...
4	2014-03-20T21:26:46Z	ben-marsh	https://avatars.githubusercontent.com/u/6538947?v=3	1	ACCEPTED: Updated .gitignore list to exclude required dependency files
5	2014-03-21T04:43:00Z	clide	https://avatars.githubusercontent.com/u/430284?v=3	1	ACCEPTED: Override display mask to force discrete renderer on OS X using Engine.ini key
6	2014-03-21T14:45:14Z	Allar	https://avatars.githubusercontent.com/u/2173793?v=3	1	ACCEPTED: Added Shared Texture resource support for D3D11RHI
7	2014-03-22T15:17:12Z	PostalDude	https://avatars.githubusercontent.com/u/788153?v=3	2	ACCEPTED: Fix invalid module linker output file path, Fix WITH_VSEXPRESS verification
8	2014-03-22T19:54:41Z	nick-penwarden	https://avatars.githubusercontent.com/u/7032788?v=3	1	ACCEPTED: Fix crash when running on hardware that does not support UAVs.
9	2014-03-22T23:00:22Z	fxtentacle	https://avatars.githubusercontent.com/u/417520?v=3	1	ACCEPTED: fix Azimuth & Elevation calculation
10	2014-03-23T09:04:27Z	swclif	https://avatars.githubusercontent.com/u/7021533?v=3	7	CLOSED: Master
11	2014-03-23T20:48:58Z	dkjer	https://avatars.githubusercontent.com/u/80382?v=3	2	ACCEPTED: Fixes for case-sensitive filesystems.  Adding workaround for Mono failing on OSX 10.8
12	2014-03-24T02:31:49Z	cdietschrun	https://avatars.githubusercontent.com/u/1017370?v=3	1	"ACCEPTED: The blueprint language for ""Actions taking a object"" looks bad I think"
13	2014-03-24T22:13:32Z	quarz	https://avatars.githubusercontent.com/u/1789736?v=3	1	CLOSED: Fix for FApexNullRenderResourceManager compilation error
14	2014-03-25T19:00:55Z	kylawl	https://avatars.githubusercontent.com/u/4952023?v=3	3	ACCEPTED: Added a couple plane intersection functions to KismetMathLibrary
15	2014-03-26T01:00:05Z	wshearn	https://avatars.githubusercontent.com/u/1176094?v=3	1	ACCEPTED: Fix HTML5 Shipping Client build
16	2014-03-26T15:42:44Z	sbc100	https://avatars.githubusercontent.com/u/515813?v=3	1	ACCEPTED: Fix build warnings in UnrealBuildTool.
17	2014-03-27T20:43:49Z	stephenwhittle	https://avatars.githubusercontent.com/u/7070635?v=3	16	ACCEPTED: New editor and runtime node classes for FABRIK IK SkeletalController
